
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000021                       # Number of seconds simulated (Second)
simTicks                                     20681000                       # Number of ticks simulated (Tick)
finalTick                                    20681000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.07                       # Real time elapsed on the host (Second)
hostTickRate                                305719342                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     650016                       # Number of bytes of host memory used (Byte)
simInsts                                         5701                       # Number of instructions simulated (Count)
simOps                                          10302                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    84151                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     152059                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            41363                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.255394                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.137828                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           20154                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          17261                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     33                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9823                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             18779                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               22648                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.762142                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.699244                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     17637     77.87%     77.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      1079      4.76%     82.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                       900      3.97%     86.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       670      2.96%     89.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       807      3.56%     93.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       598      2.64%     95.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       629      2.78%     98.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       244      1.08%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        84      0.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 22648                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     155     79.49%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     79.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     79.49% # attempts to use FU when none available (Count)
